"","yes","not","age","year","yards","tds","att","comp","playoff_games","playoff_wins","pb_games"
"1","AikmTr00",1,24,1989,1749,9,293,155,0,0,0
"2","AikmTr00",2,25,1990,4328,20,692,381,0,0,0
"3","AikmTr00",3,26,1991,7082,31,1055,618,0,0,1
"4","AikmTr00",4,27,1992,10527,54,1528,920,3,3,2
"5","AikmTr00",5,28,1993,13627,69,1920,1191,6,6,3
"6","AikmTr00",6,29,1994,16303,82,2281,1424,8,7,4
"7","AikmTr00",7,30,1995,19607,98,2713,1704,11,10,5
"8","AikmTr00",8,31,1996,22733,110,3178,2000,13,11,6
"9","AikmTr00",9,32,1997,26016,129,3696,2292,13,11,6
"10","AikmTr00",10,33,1998,28346,141,4011,2479,14,11,6
"11","AikmTr00",11,34,1999,31310,158,4453,2742,15,11,6
"12","AikmTr00",12,35,2000,32942,165,4715,2898,15,11,6
"13","AlbeFr00",1,31,1950,1767,14,306,155,0,0,1
"14","AlbeFr00",2,32,1951,2883,19,472,245,0,0,1
"15","AlbeFr00",3,33,1952,3847,27,601,316,0,0,1
"16","AlleJo02",1,23,2018,2074,10,320,169,0,0,0
"17","AlleJo02",2,24,2019,5163,30,781,440,1,0,0
"18","AlleJo02",3,25,2020,9707,67,1353,836,4,2,1
"19","AlleJo02",4,26,2021,14114,103,1999,1245,6,3,2
"20","AlleKy00",1,23,2018,266,2,31,20,0,0,0
"21","AlleKy00",2,24,2019,3588,19,520,323,0,0,0
"22","AlleKy00",3,25,2020,4198,23,607,383,0,0,0
"23","AlleKy00",4,26,2021,4318,24,626,395,0,0,0
"24","AndeDe00",1,24,2006,793,5,117,66,0,0,0
"25","AndeDe00",2,25,2007,4580,34,644,364,0,0,1
"26","AndeDe00",3,26,2008,6195,43,927,506,0,0,1
"27","AndeDe00",4,27,2009,7083,46,1109,587,0,0,1
"28","AndeDe00",5,28,2010,9148,53,1436,756,0,0,1
"29","AndeDe00",6,29,2011,9148,53,1436,756,0,0,1
"30","AndeDe00",7,30,2012,9206,53,1440,760,0,0,1
"31","AndeDe00",8,31,2013,9206,53,1440,760,0,0,1
"32","AndeDe00",9,32,2014,9907,58,1537,825,0,0,1
"33","AndeDe00",10,33,2015,9943,58,1543,829,0,0,1
"34","AndeDe00",11,34,2016,10396,60,1596,865,0,0,1
"35","AndeDe00",12,35,2017,10413,60,1604,867,0,0,1
"36","AndeDe00",13,36,2018,10878,60,1674,909,0,0,1
"37","AndeKe00",1,23,1971,777,5,131,72,0,0,0
"38","AndeKe00",2,24,1972,2695,12,432,243,0,0,0
"39","AndeKe00",3,25,1973,5123,30,761,422,1,0,0
"40","AndeKe00",4,26,1974,7790,48,1089,635,1,0,0
"41","AndeKe00",5,27,1975,10959,69,1466,863,2,0,1
"42","AndeKe00",6,28,1976,13326,88,1804,1042,2,0,2
"43","AndeKe00",7,29,1977,15471,99,2127,1208,2,0,2
"44","AndeKe00",8,30,1978,17690,109,2446,1381,2,0,2
"45","AndeKe00",9,31,1979,20030,125,2785,1570,2,0,2
"46","AndeKe00",10,32,1980,21808,131,3060,1736,2,0,2
"47","AndeKe00",11,33,1981,25562,160,3539,2036,5,2,3
"48","AndeKe00",12,34,1982,28057,172,3848,2254,6,2,4
"49","AndeKe00",13,35,1983,30390,184,4145,2452,6,2,4
"50","AndeKe00",14,36,1984,32497,194,4420,2627,6,2,4
"51","AndeKe00",15,37,1985,32667,196,4452,2643,6,2,4
"52","AndeKe00",16,38,1986,32838,197,4475,2654,6,2,4
"53","ArchDa00",1,23,1984,181,1,18,11,0,0,0
"54","ArchDa00",2,24,1985,2173,8,330,172,0,0,0
"55","ArchDa00",3,25,1986,4180,18,624,322,0,0,0
"56","ArchDa00",4,26,1987,4275,18,647,331,0,0,0
"57","ArchDa00",5,27,1988,4275,18,649,331,0,0,0
"58","ArchDa00",6,28,1989,4337,18,661,336,0,0,0
"59","AvelBo00",1,23,1975,942,6,126,67,0,0,0
"60","AvelBo00",2,24,1976,2522,14,397,185,0,0,0
"61","AvelBo00",3,25,1977,4526,25,690,339,1,0,0
"62","AvelBo00",4,26,1978,6244,30,954,480,1,0,0
"63","AvelBo00",5,27,1979,6554,32,1005,507,1,0,0
"64","AvelBo00",6,28,1980,6554,32,1005,507,1,0,0
"65","AvelBo00",7,29,1981,6739,33,1037,522,1,0,0
"66","AvelBo00",8,30,1982,6823,33,1057,530,1,0,0
"67","AvelBo00",9,31,1983,6823,33,1057,530,1,0,0
"68","AvelBo00",10,32,1984,7111,33,1110,560,1,0,0
"69","BankTo00",1,24,1996,2544,15,368,192,0,0,0
"70","BankTo00",2,25,1997,5798,29,855,444,0,0,0
"71","BankTo00",3,26,1998,8333,36,1263,685,0,0,0
"72","BankTo00",4,27,1999,10469,53,1583,854,0,0,0
"73","BankTo00",5,28,2000,12047,61,1857,1004,0,0,0
"74","BankTo00",6,29,2001,14433,71,2227,1202,0,0,0
"75","BankTo00",7,30,2002,14433,71,2227,1202,0,0,0
"76","BankTo00",8,31,2003,15126,76,2329,1263,0,0,0
"77","BankTo00",9,32,2004,15142,76,2331,1264,0,0,0
"78","BankTo00",10,33,2005,15315,77,2356,1278,0,0,0
"79","BartSt00",1,24,1975,1662,13,255,115,0,0,0
"80","BartSt00",2,25,1976,2339,15,375,172,0,0,0
"81","BartSt00",3,26,1977,3135,20,511,236,0,0,0
"82","BartSt00",4,27,1978,5624,30,880,423,2,1,0
"83","BartSt00",5,28,1979,8129,47,1260,627,2,1,0
"84","BartSt00",6,29,1980,11673,78,1723,884,3,1,1
"85","BartSt00",7,30,1981,15502,108,2256,1181,3,1,2
"86","BartSt00",8,31,1982,17407,116,2518,1347,4,1,2
"87","BartSt00",9,32,1983,20574,138,2950,1621,4,1,2
"88","BartSt00",10,33,1984,22732,149,3219,1802,4,1,2
"89","BartSt00",11,34,1985,23470,154,3330,1871,4,1,2
"90","BartSt00",12,35,1986,24124,156,3456,1932,4,1,2
"91","BatcCh00",1,25,1998,2178,11,303,173,0,0,0
"92","BatcCh00",2,26,1999,4135,24,573,324,0,0,0
"93","BatcCh00",3,27,2000,6624,37,985,545,0,0,0
"94","BatcCh00",4,28,2001,9016,49,1326,743,0,0,0
"95","BatcCh00",5,29,2002,9016,49,1326,743,0,0,0
"96","BatcCh00",6,30,2003,9063,49,1334,747,0,0,0
"97","BatcCh00",7,31,2004,9063,49,1334,747,0,0,0
"98","BatcCh00",8,32,2005,9309,50,1370,770,0,0,0
"99","BatcCh00",9,33,2006,9801,55,1423,801,0,0,0
"100","BatcCh00",10,34,2007,10033,57,1459,818,0,0,0
"101","BatcCh00",11,35,2008,10033,57,1459,818,0,0,0
"102","BatcCh00",12,36,2009,10050,57,1461,819,0,0,0
"103","BatcCh00",13,37,2010,10402,60,1510,848,0,0,0
"104","BatcCh00",14,38,2011,10610,60,1534,863,0,0,0
"105","BatcCh00",15,39,2012,11085,61,1604,908,0,0,0
"106","BerrBo00",1,24,1965,0,0,2,0,0,0,0
"107","BerrBo00",2,25,1966,215,1,39,13,0,0,0
"108","BerrBo00",3,26,1967,258,1,46,16,0,0,0
"109","BerrBo00",4,27,1968,1691,8,199,97,0,0,0
"110","BerrBo00",5,28,1969,2778,18,323,168,0,0,1
"111","BerrBo00",6,29,1970,4584,34,592,324,0,0,1
"112","BerrBo00",7,30,1971,6589,45,818,460,0,0,1
"113","BerrBo00",8,31,1972,8747,58,1095,614,0,0,1
"114","BerrBo00",9,32,1973,8868,59,1119,624,0,0,1
"115","BerrBo00",10,33,1974,9173,64,1167,658,0,0,1
"116","BerrBo00",11,34,1975,9197,64,1173,661,0,0,1
"117","BeueSt00",1,24,1988,1643,8,238,105,0,0,0
"118","BeueSt00",2,25,1989,3320,21,455,213,0,0,0
"119","BeueSt00",3,26,1990,3320,21,455,213,0,0,0
"120","BeueSt00",4,27,1991,4229,26,592,281,2,1,0
"121","BeueSt00",5,28,1992,4381,26,610,293,2,1,0
"122","BeueSt00",6,29,1993,7545,44,1028,551,2,1,0
"123","BeueSt00",7,30,1994,9090,49,1283,681,2,1,0
"124","BeueSt00",8,31,1995,10042,53,1425,752,2,1,0
"125","BeueSt00",9,32,1996,10921,61,1548,821,2,1,0
"126","BeueSt00",10,33,1997,11953,67,1701,910,2,1,0
"127","BeueSt00",11,34,1998,14566,84,2044,1126,2,1,0
"128","BeueSt00",12,35,1999,19002,120,2615,1469,2,1,1
"129","BeueSt00",13,36,2000,22732,139,3148,1793,2,1,1
"130","BeueSt00",14,37,2001,22732,139,3148,1793,2,1,1
"131","BeueSt00",15,38,2002,23657,145,3265,1861,2,1,1
"132","BeueSt00",16,39,2003,24046,147,3328,1894,2,1,1
"133","BlacTo00",1,23,1983,259,3,34,20,0,0,0
"134","BlacTo00",2,24,1984,1966,9,328,167,0,0,0
"135","BlacTo00",3,25,1985,3156,15,500,253,0,0,0
"136","BlacTo00",4,26,1986,4356,25,711,349,1,0,0
"137","BlacTo00",5,27,1987,4510,26,742,364,1,0,0
"138","BlacTo00",6,28,1988,5004,28,821,402,1,0,0
"139","BlacTo00",7,29,1989,5286,29,881,424,1,0,0
"140","BlakJe00",1,23,1992,40,0,9,4,0,0,0
"141","BlakJe00",2,24,1993,40,0,9,4,0,0,0
"142","BlakJe00",3,25,1994,2194,14,315,160,0,0,0
"143","BlakJe00",4,26,1995,6016,42,882,486,0,0,1
"144","BlakJe00",5,27,1996,9640,66,1431,794,0,0,1
"145","BlakJe00",6,28,1997,11765,74,1748,978,0,0,1
"146","BlakJe00",7,29,1998,12504,77,1841,1029,0,0,1
"147","BlakJe00",8,30,1999,15174,93,2230,1244,0,0,1
"148","BlakJe00",9,31,2000,17199,106,2532,1428,0,0,1
"149","BlakJe00",10,32,2001,17199,106,2533,1428,0,0,1
"150","BlakJe00",11,33,2002,19283,119,2828,1593,0,0,1
"151","BlakJe00",12,34,2003,21530,132,3195,1801,0,0,1
"152","BlakJe00",13,35,2004,21656,133,3232,1819,0,0,1
"153","BlakJe00",14,36,2005,21711,134,3241,1827,0,0,1
"154","BlanGe00",1,24,1950,0,0,1,0,0,0,0
"155","BlanGe00",2,25,1951,0,0,1,0,0,0,0
"156","BlanGe00",3,26,1952,664,8,132,47,0,0,0
"157","BlanGe00",4,27,1953,2828,22,494,216,0,0,0
"158","BlanGe00",5,28,1954,4757,37,775,347,0,0,0
"159","BlanGe00",6,29,1955,5216,41,872,389,0,0,0
"160","BlanGe00",7,30,1956,5655,48,941,426,1,0,0
"161","BlanGe00",8,31,1957,5720,48,960,434,1,0,0
"162","BlanGe00",9,32,1958,5739,48,967,436,1,0,0
"163","BlanGe00",10,33,1959,5739,48,967,436,1,0,0
"164","BlanGe00",11,34,1960,5739,48,967,436,1,0,0
"165","BlanGe00",12,35,1961,5739,48,967,436,1,0,0
"166","BlanGe00",13,36,1962,5739,48,967,436,1,0,0
"167","BlanGe00",14,37,1963,5739,48,967,436,1,0,0
"168","BlanGe00",15,38,1964,5739,48,967,436,1,0,0
"169","BlanGe00",16,39,1965,5739,48,967,436,1,0,0
"170","BlanGe00",17,40,1966,5739,48,967,436,1,0,0
"171","BlanGe00",18,41,1967,5739,48,967,436,1,0,0
"172","BlanGe00",19,42,1968,5739,48,967,436,1,0,0
"173","BlanGe00",20,43,1969,5739,48,967,436,1,0,0
"174","BlanGe00",21,44,1970,6200,54,1022,465,1,0,0
"175","BlanGe00",22,45,1971,6578,58,1080,497,1,0,0
"176","BledDr00",1,22,1993,2494,15,429,214,0,0,0
"177","BledDr00",2,23,1994,7049,40,1120,614,1,0,1
"178","BledDr00",3,24,1995,10556,53,1756,937,1,0,1
"179","BledDr00",4,25,1996,14642,80,2379,1310,4,2,2
"180","BledDr00",5,26,1997,18348,108,2901,1624,6,3,3
"181","BledDr00",6,27,1998,21981,128,3382,1887,6,3,3
"182","BledDr00",7,28,1999,25966,147,3921,2192,6,3,3
"183","BledDr00",8,29,2000,29257,164,4452,2504,6,3,3
"184","BledDr00",9,30,2001,29657,166,4518,2544,6,3,3
"185","BledDr00",10,31,2002,34016,190,5128,2919,6,3,4
"186","BledDr00",11,32,2003,36876,201,5599,3193,6,3,4
"187","BledDr00",12,33,2004,39808,221,6049,3449,6,3,4
"188","BledDr00",13,34,2005,43447,244,6548,3749,6,3,4
"189","BledDr00",14,35,2006,44611,251,6717,3839,6,3,4
"190","BollKy00",1,23,2003,1260,7,224,116,0,0,0
"191","BollKy00",2,24,2004,3819,20,688,374,0,0,0
"192","BollKy00",3,25,2005,5618,31,981,545,0,0,0
"193","BollKy00",4,26,2006,6103,36,1036,578,0,0,0
"194","BollKy00",5,27,2007,7846,45,1311,746,0,0,0
"195","BollKy00",6,28,2008,7846,45,1311,746,0,0,0
"196","BollKy00",7,29,2009,8745,48,1487,844,0,0,0
"197","BollKy00",8,30,2010,8770,48,1491,846,0,0,0
"198","BollKy00",9,31,2011,8931,48,1519,861,0,0,0
"199","BonoSt00",1,24,1985,5,0,10,1,0,0,0
"200","BonoSt00",2,25,1986,8,0,11,2,0,0,0
"201","BonoSt00",3,26,1987,446,5,85,36,0,0,0
"202","BonoSt00",4,27,1988,556,6,120,46,0,0,0
"203","BonoSt00",5,28,1989,618,7,125,50,0,0,0
"204","BonoSt00",6,29,1990,618,7,125,50,0,0,0
"205","BonoSt00",7,30,1991,2235,18,362,191,0,0,0
"206","BonoSt00",8,31,1992,2698,20,418,227,0,0,0
"207","BonoSt00",9,32,1993,3114,20,479,266,0,0,0
"208","BonoSt00",10,33,1994,3910,24,596,332,0,0,0
"209","BonoSt00",11,34,1995,7031,45,1116,625,1,0,1
"210","BonoSt00",12,35,1996,9603,57,1554,860,1,0,1
"211","BonoSt00",13,36,1997,9632,57,1564,865,1,0,1
"212","BonoSt00",14,37,1998,10439,62,1700,934,1,0,1
"213","BonoSt00",15,38,1999,10439,62,1701,934,1,0,1
"214","BortBl00",1,23,2014,2908,11,475,280,0,0,0
"215","BortBl00",2,24,2015,7336,46,1081,635,0,0,0
"216","BortBl00",3,25,2016,11241,69,1706,1003,0,0,0
"217","BortBl00",4,26,2017,14928,90,2229,1318,3,2,0
"218","BortBl00",5,27,2018,17646,103,2632,1561,3,2,0
"219","BortBl00",6,28,2019,17649,103,2634,1562,3,2,0
"220","BoryMi00",1,24,1974,580,5,102,60,0,0,0
"221","BoryMi00",2,25,1975,1576,11,268,147,0,0,1
"222","BoryMi00",3,26,1976,2823,20,514,270,0,0,1
"223","BoryMi00",4,27,1977,2823,20,514,270,0,0,1
"224","BoryMi00",5,28,1978,2838,20,519,272,0,0,1
"225","BradSa00",1,24,2010,3512,18,590,354,0,0,0
"226","BradSa00",2,25,2011,5676,24,947,545,0,0,0
"227","BradSa00",3,26,2012,9378,45,1498,873,0,0,0
"228","BradSa00",4,27,2013,11065,59,1760,1032,0,0,0
"229","BradSa00",5,28,2014,11065,59,1760,1032,0,0,0
"230","BradSa00",6,29,2015,14790,78,2292,1378,0,0,0
"231","BradSa00",7,30,2016,18667,98,2844,1773,0,0,0
"232","BradSa00",8,31,2017,19049,101,2887,1805,0,0,0
"233","BradSa00",9,32,2018,19449,103,2967,1855,0,0,0
"234","BradTe00",1,23,1970,1410,6,218,83,0,0,0
"235","BradTe00",2,24,1971,3669,19,591,286,0,0,0
"236","BradTe00",3,25,1972,5556,31,899,433,2,1,0
"237","BradTe00",4,26,1973,6739,41,1079,522,3,1,0
"238","BradTe00",5,27,1974,7524,48,1227,589,6,4,0
"239","BradTe00",6,28,1975,9579,66,1513,754,9,7,1
"240","BradTe00",7,29,1976,10756,76,1705,846,11,8,1
"241","BradTe00",8,30,1977,13279,93,2019,1008,12,8,1
"242","BradTe00",9,31,1978,16194,121,2387,1215,15,11,2
"243","BradTe00",10,32,1979,19918,147,2859,1474,18,14,3
"244","BradTe00",11,33,1980,23257,171,3283,1692,18,14,3
"245","BradTe00",12,34,1981,26144,193,3653,1893,18,14,3
"246","BradTe00",13,35,1982,27912,210,3893,2020,19,14,3
"247","BradTe00",14,36,1983,27989,212,3901,2025,19,14,3
"248","BradTo00",1,24,2000,6,0,3,1,0,0,0
"249","BradTo00",2,25,2001,2849,18,416,265,3,3,1
"250","BradTo00",3,26,2002,6613,46,1017,638,3,3,1
"251","BradTo00",4,27,2003,10233,69,1544,955,6,6,1
"252","BradTo00",5,28,2004,13925,97,2018,1243,9,9,2
"253","BradTo00",6,29,2005,18035,123,2548,1577,11,10,3
"254","BradTo00",7,30,2006,21564,147,3064,1896,14,12,3
"255","BradTo00",8,31,2007,26370,197,3642,2294,17,14,4
"256","BradTo00",9,32,2008,26446,197,3653,2301,17,14,4
"257","BradTo00",10,33,2009,30844,225,4218,2672,18,14,5
"258","BradTo00",11,34,2010,34744,261,4710,2996,19,14,6
"259","BradTo00",12,35,2011,39979,300,5321,3397,22,16,7
"260","BradTo00",13,36,2012,44806,334,5958,3798,24,17,8
"261","BradTo00",14,37,2013,49149,359,6586,4178,26,18,9
"262","BradTo00",15,38,2014,53258,392,7168,4551,29,21,10
"263","BradTo00",16,39,2015,58028,428,7792,4953,31,22,11
"264","BradTo00",17,40,2016,61582,456,8224,5244,34,25,12
"265","BradTo00",18,41,2017,66159,488,8805,5629,37,27,13
"266","BradTo00",19,42,2018,70514,517,9375,6004,40,30,14
"267","BradTo00",20,43,2019,74571,541,9988,6377,41,30,14
"268","BradTo00",21,44,2020,79204,581,10598,6778,45,34,14
"269","BradTo00",22,45,2021,84520,624,11317,7263,47,35,15
"270","BratZe00",1,24,1954,1087,8,130,67,0,0,0
"271","BratZe00",2,25,1955,1087,8,130,67,0,0,0
"272","BratZe00",3,26,1956,1087,8,130,67,0,0,0
"273","BratZe00",4,27,1957,1614,9,210,104,0,0,0
"274","BratZe00",5,28,1958,2185,16,300,145,0,0,0
"275","BratZe00",6,29,1959,2588,18,362,176,0,0,0
"276","BratZe00",7,30,1960,3639,24,537,263,0,0,0
"277","BratZe00",8,31,1961,5186,32,767,387,0,0,0
"278","BratZe00",9,32,1962,6727,41,986,497,0,0,0
"279","BratZe00",10,33,1963,7294,45,1079,546,0,0,0
"280","BratZe00",11,34,1964,7571,46,1115,565,0,0,0
"281","BratZe00",12,35,1965,7919,49,1163,586,0,0,0
"282","BratZe00",13,36,1966,8488,53,1227,622,0,0,0
"283","BratZe00",14,37,1967,9212,58,1321,675,0,0,0
"284","BratZe00",15,38,1968,10047,61,1447,743,0,0,0
"285","BratZe00",16,39,1969,10047,61,1447,743,0,0,0
"286","BratZe00",17,40,1970,10047,61,1447,743,0,0,0
"287","BratZe00",18,41,1971,10345,65,1484,762,0,0,0
"288","BreeDr00",1,23,2001,221,1,27,15,0,0,0
"289","BreeDr00",2,24,2002,3505,18,553,335,0,0,0
"290","BreeDr00",3,25,2003,5613,29,909,540,0,0,0
"291","BreeDr00",4,26,2004,8772,56,1309,802,1,0,1
"292","BreeDr00",5,27,2005,12348,80,1809,1125,1,0,1
"293","BreeDr00",6,28,2006,16766,106,2363,1481,3,1,2
"294","BreeDr00",7,29,2007,21189,134,3015,1921,3,1,2
"295","BreeDr00",8,30,2008,26258,168,3650,2334,3,1,3
"296","BreeDr00",9,31,2009,30646,202,4164,2697,6,4,4
"297","BreeDr00",10,32,2010,35266,235,4822,3145,7,4,5
"298","BreeDr00",11,33,2011,40742,281,5479,3613,9,5,6
"299","BreeDr00",12,34,2012,45919,324,6149,4035,9,5,7
"300","BreeDr00",13,35,2013,51081,363,6799,4481,11,6,8
"301","BreeDr00",14,36,2014,56033,396,7458,4937,11,6,9
"302","BreeDr00",15,37,2015,60903,428,8085,5365,11,6,9
"303","BreeDr00",16,38,2016,66111,465,8758,5836,11,6,10
"304","BreeDr00",17,39,2017,70445,488,9294,6222,13,7,11
"305","BreeDr00",18,40,2018,74437,520,9783,6586,15,8,12
"306","BreeDr00",19,41,2019,77416,547,10161,6867,16,8,13
"307","BreeDr00",20,42,2020,80358,571,10551,7142,18,9,13
"308","BridTe00",1,23,2014,2919,14,402,259,0,0,0
"309","BridTe00",2,24,2015,6150,28,849,551,1,0,1
"310","BridTe00",3,25,2016,6150,28,849,551,1,0,1
"311","BridTe00",4,26,2017,6150,28,851,551,1,0,1
"312","BridTe00",5,27,2018,6268,29,874,565,1,0,1
"313","BridTe00",6,28,2019,7652,38,1070,698,1,0,1
"314","BridTe00",7,29,2020,11385,53,1562,1038,1,0,1
"315","BridTe00",8,30,2021,14437,71,1988,1323,1,0,1
"316","BrisBu00",1,25,1986,291,0,60,21,0,0,0
"317","BrisBu00",2,26,1987,311,0,72,25,0,0,0
"318","BrisBu00",3,27,1988,2945,11,442,200,0,0,0
"319","BrisBu00",4,28,1989,5310,20,784,387,2,1,0
"320","BrisBu00",5,29,1990,8035,40,1171,610,2,1,0
"321","BrisBu00",6,30,1991,9385,49,1361,713,2,1,0
"322","BrisBu00",7,31,1992,10104,51,1477,776,2,1,0
"323","BrisBu00",8,32,1993,12009,65,1786,957,2,1,0
"324","BrisBu00",9,33,1994,12516,67,1862,1008,2,1,0
"325","BrisBu00",10,34,1995,13242,71,2032,1101,2,1,0
"326","BrisBu00",11,35,1996,13242,71,2032,1101,2,1,0
"327","BrisBu00",12,36,1997,13290,71,2041,1107,2,1,0
"328","BrisBu00",13,37,1998,14276,81,2172,1185,2,1,0
"329","BrisBu00",14,38,1999,14363,81,2192,1197,2,1,0
"330","BrisBu00",15,39,2000,14445,81,2212,1207,2,1,0
"331","BrisJa00",1,25,2016,400,0,55,34,0,0,0
"332","BrisJa00",2,26,2017,3498,13,524,310,0,0,0
"333","BrisJa00",3,27,2018,3500,13,528,312,0,0,0
"334","BrisJa00",4,28,2019,6442,31,975,584,0,0,0
"335","BrisJa00",5,29,2020,6459,31,983,586,0,0,0
"336","BrisJa00",6,30,2021,7742,36,1208,727,0,0,0
"337","BrodJo00",1,23,1957,160,2,21,11,0,0,0
"338","BrodJo00",2,24,1958,1384,8,193,114,0,0,0
"339","BrodJo00",3,25,1959,1738,10,257,144,0,0,0
"340","BrodJo00",4,26,1960,2849,16,464,247,0,0,0
"341","BrodJo00",5,27,1961,5437,30,747,402,0,0,0
"342","BrodJo00",6,28,1962,7709,48,1051,577,0,0,0
"343","BrodJo00",7,29,1963,8076,51,1112,607,0,0,0
"344","BrodJo00",8,30,1964,10574,65,1504,800,0,0,0
"345","BrodJo00",9,31,1965,13686,95,1895,1042,0,0,1
"346","BrodJo00",10,32,1966,16496,111,2322,1274,0,0,1
"347","BrodJo00",11,33,1967,18509,122,2671,1442,0,0,1
"348","BrodJo00",12,34,1968,21529,144,3075,1676,0,0,1
"349","BrodJo00",13,35,1969,23934,160,3422,1870,0,0,1
"350","BrodJo00",14,36,1970,26875,184,3800,2093,2,1,2
"351","BrodJo00",15,37,1971,29517,202,4187,2301,4,2,2
"352","BrodJo00",16,38,1972,30422,211,4297,2371,5,2,2
"353","BrodJo00",17,39,1973,31548,214,4491,2469,5,2,2
"354","BrooAa00",1,25,2000,1514,9,194,113,2,1,0
"355","BrooAa00",2,26,2001,5346,35,752,425,2,1,0
"356","BrooAa00",3,27,2002,8918,62,1280,708,2,1,0
"357","BrooAa00",4,28,2003,12464,86,1798,1014,2,1,0
"358","BrooAa00",5,29,2004,16274,107,2340,1323,2,1,0
"359","BrooAa00",6,30,2005,19156,120,2771,1563,2,1,0
"360","BrooAa00",7,31,2006,20261,123,2963,1673,2,1,0
"361","BrowDa00",1,23,1992,21,0,7,4,0,0,0
"362","BrowDa00",2,24,1993,21,0,7,4,0,0,0
"363","BrowDa00",3,25,1994,2557,12,357,205,0,0,0
"364","BrowDa00",4,26,1995,5371,23,813,459,0,0,0
"365","BrowDa00",5,27,1996,7783,35,1211,673,0,0,0
"366","BrowDa00",6,28,1997,8806,40,1391,766,0,0,0
"367","BrowDa00",7,29,1998,8837,40,1396,768,0,0,0
"368","BrowDa00",8,30,1999,9781,42,1565,852,0,0,0
"369","BrowDa00",9,31,2000,10248,44,1634,892,0,0,0
"370","BrowEd01",1,27,1954,283,3,17,10,0,0,0
"371","BrowEd01",2,28,1955,1590,12,181,95,0,0,1
"372","BrowEd01",3,29,1956,3257,23,349,191,1,0,2
"373","BrowEd01",4,30,1957,4578,29,534,275,1,0,2
"374","BrowEd01",5,31,1958,5996,39,752,377,1,0,2
"375","BrowEd01",6,32,1959,7877,52,999,502,1,0,2
"376","BrowEd01",7,33,1960,8956,59,1148,561,1,0,2
"377","BrowEd01",8,34,1961,9698,63,1246,607,1,0,2
"378","BrowEd01",9,35,1962,10424,68,1330,650,1,0,2
"379","BrowEd01",10,36,1963,13406,89,1692,818,1,0,2
"380","BrowEd01",11,37,1964,15396,101,1964,939,1,0,2
"381","BrowEd01",12,38,1965,15600,102,1987,949,1,0,2
"382","BrunMa00",1,25,1994,95,0,27,12,0,0,0
"383","BrunMa00",2,26,1995,2263,15,373,213,0,0,0
"384","BrunMa00",3,27,1996,6630,34,930,566,3,2,1
"385","BrunMa00",4,28,1997,9911,52,1365,830,4,2,2
"386","BrunMa00",5,29,1998,12512,72,1719,1038,6,3,2
"387","BrunMa00",6,30,1999,15572,86,2160,1297,8,4,3
"388","BrunMa00",7,31,2000,19212,106,2672,1608,8,4,3
"389","BrunMa00",8,32,2001,22521,125,3145,1897,8,4,3
"390","BrunMa00",9,33,2002,25309,142,3561,2142,8,4,3
"391","BrunMa00",10,34,2003,25793,144,3643,2196,8,4,3
"392","BrunMa00",11,35,2004,26987,151,3880,2314,8,4,3
"393","BrunMa00",12,36,2005,30037,174,4334,2576,10,5,3
"394","BrunMa00",13,37,2006,31826,182,4594,2738,10,5,3
"395","BrunMa00",14,38,2007,31826,182,4594,2738,10,5,3
"396","BrunMa00",15,39,2008,31826,182,4594,2738,10,5,3
"397","BrunMa00",16,40,2009,31928,182,4624,2753,10,5,3
"398","BrunMa00",17,41,2010,32045,184,4637,2760,10,5,3
"399","BrunMa00",18,42,2011,32072,184,4640,2761,10,5,3
"400","BrunSc00",1,24,1980,610,4,112,52,0,0,0
"401","BrunSc00",2,25,1981,1588,9,302,131,2,1,0
"402","BrunSc00",3,26,1982,3605,19,600,292,2,1,0
"403","BrunSc00",4,27,1983,6121,28,986,482,2,1,0
"404","BrunSc00",5,28,1984,6121,28,986,482,2,1,0
"405","BrunSc00",6,29,1985,6457,29,1046,512,2,1,0
"406","BukiRu00",1,24,1953,169,0,32,14,0,0,0
"407","BukiRu00",2,25,1954,169,0,32,14,0,0,0
"408","BukiRu00",3,26,1955,169,0,32,14,0,0,0
"409","BukiRu00",4,27,1956,299,1,55,24,0,0,0
"410","BukiRu00",5,28,1957,402,1,83,30,0,0,0
"411","BukiRu00",6,29,1958,568,2,106,38,0,0,0
"412","BukiRu00",7,30,1959,568,2,106,38,0,0,0
"413","BukiRu00",8,31,1960,926,4,157,63,0,0,0
"414","BukiRu00",9,32,1961,2179,15,313,152,0,0,0
"415","BukiRu00",10,33,1962,2258,16,326,155,0,0,0
"416","BukiRu00",11,34,1963,2627,19,369,184,0,0,0
"417","BukiRu00",12,35,1964,3726,31,529,283,0,0,0
"418","BukiRu00",13,36,1965,6367,51,841,459,0,0,0
"419","BukiRu00",14,37,1966,8225,61,1150,606,0,0,0
"420","BukiRu00",15,38,1967,8410,61,1183,624,0,0,0
"421","BukiRu00",16,39,1968,8433,61,1190,626,0,0,0
"422","BulgMa00",1,26,2002,1826,14,214,138,0,0,0
"423","BulgMa00",2,27,2003,5671,36,746,474,1,0,1
"424","BulgMa00",3,28,2004,9635,57,1231,795,3,1,1
"425","BulgMa00",4,29,2005,11932,71,1518,987,3,1,1
"426","BulgMa00",5,30,2006,16233,95,2106,1357,3,1,2
"427","BulgMa00",6,31,2007,18625,106,2484,1578,3,1,2
"428","BulgMa00",7,32,2008,21345,117,2924,1829,3,1,2
